"","ticker","yearOverYearGrowth","dividendYield"
"1","MMM",-29.3376990043606,1.19057129539638
"2","AOS",-27.9016520681975,0.501504513540622
"3","ABT",-21.6492552238806,0.44766169059266
"4","ABBV",34.4728602769423,0.859598859108693
"5","ABMD",20.2940479163844,0
"6","ACN",-21.2783813513513,0.384522965735409
"7","ATVI",29.9898143241621,0.61365716744521
"8","ADM",43.1706855149002,0.441160261192462
"9","ADBE",-48.1379724983686,0
"10","AAP",-36.1911317019335,1.01378746217551
"11","AMD",-49.2147289457149,0
"12","AES",15.1441419059741,0.557122688394828
"13","AFL",26.6940093903706,0.562983790444034
"14","A",-0.451453819718772,0.13802169456543
"15","APD",6.70657066943567,0.516318188541618
"16","AKAM",-18.0107512188307,0
"17","ALK",-8.64220868678146,0
"18","ALB",5.57530217119366,0.147729819961668
"19","ARE",-27.5953494748799,0.785828428720607
"20","ALGN",-71.2305128523382,0
"21","ALLE",-15.818911130208,0.368109185709531
"22","LNT",-5.81013467715252,0.785753611423653
"23","ALL",17.0189501272057,0.661787594802435
"24","GOOGL",-31.7978076079674,0
"25","GOOG",-31.7094895178381,0
"26","MO",6.16561895062149,1.992369648156
"27","AMZN",-48.1672411855473,0
"28","AMCR",5.49828178694156,1.00162866449511
"29","AEE",1.25307414513496,0.682396491815828
"30","AAL",-22.8165938864629,0
"31","AEP",13.4030457169601,0.8797965181173
"32","AXP",-5.31914893617022,0.333868378812199
"33","AIG",11.7135063748502,0.519396193484886
"34","AMT",-20.2691229493088,0.679705910580184
"35","AWK",-12.2001581602249,0.428104575163399
"36","AMP",7.50267723407474,0.389456641030377
"37","ABC",43.589749240481,0.283029876966446
"38","AME",0.652480851063819,0.155016913120306
"39","AMGN",36.6674655510628,0.678701380894226
"40","APH",-5.24746703035104,0.251730657711667
"41","ADI",-8.66771828461608,0.453055141579732
"42","ANSS",-37.6062186958902,0
"43","AON",2.94470241393594,0.181206311057285
"44","APA",70.5526154428463,0.554815788841194
"45","AAPL",-13.0175033946356,0.15638810705979
"46","AMAT",-29.2582781456954,0.243400112338513
"47","APTV",-38.6767529860321,0
"48","ANET",8.00614241400988,0
"49","AJG",16.7288865185185,0.258909539220419
"50","AIZ",-16.2640901771336,0.538461538461538
"51","T",7.34060317353165,1.47167821448799
"52","ATO",22.949598938992,0.638591663063298
"53","ADSK",-27.0741694382522,0
"54","ADP",12.4835081398192,0.39352202358681
"55","AZO",27.5093114902274,0
"56","AVB",-29.0901525388601,0.929444049183911
"57","AVY",-10.2908006721099,0.393391043065021
"58","BKR",15.3098333207844,0.667369183960983
"59","BAC",-22.419211794901,0.636389933468325
"60","BBWI",-41.10487182705,0.454235758669901
"61","BAX",-35.8651887273084,0.568627450980392
"62","BDX",1.78269608808019,0.354407696829195
"63","BBY",-21.0393028699062,1.04537894986933
"64","BIO",-46.0690801092846,0
"65","TECH",-30.515599442631,0.0243190667392769
"66","BIIB",29.7775030401697,0
"67","BLK",-22.4317217624431,0.690055004482374
"68","BK",-22.8157937678079,0.856481461655522
"69","BA",-11.1320405788857,0
"70","BKNG",-10.0923529328856,0
"71","BWA",-6.8776030269217,0.401132600256428
"72","BXP",-40.5935400351867,1.44414969873048
"73","BSX",9.86905626241241,0
"74","BMY",41.4548613751948,0.669145006287919
"75","AVGO",-7.22901678321678,0.772637296629991
"76","BR",-16.569518864904,0.501521866374127
