"","X","ticker","yearOverYearGrowth","dividendYield","V5"
"1",1,"MMM",-29.3376990043606,1.19057129539638,3
"2",2,"AOS",-27.9016520681975,0.501504513540622,3
"3",3,"ABT",-21.6492552238806,0.44766169059266,3
"4",4,"ABBV",34.4728602769423,0.859598859108693,2
"5",5,"ABMD",20.2940479163844,0,2
"6",6,"ACN",-21.2783813513513,0.384522965735409,3
"7",7,"ATVI",29.9898143241621,0.61365716744521,2
"8",8,"ADM",43.1706855149002,0.441160261192462,2
"9",9,"ADBE",-48.1379724983686,0,3
"10",10,"AAP",-36.1911317019335,1.01378746217551,3
"11",11,"AMD",-49.2147289457149,0,3
"12",12,"AES",15.1441419059741,0.557122688394828,1
"13",13,"AFL",26.6940093903706,0.562983790444034,2
"14",14,"A",-0.451453819718772,0.13802169456543,1
"15",15,"APD",6.70657066943567,0.516318188541618,1
"16",16,"AKAM",-18.0107512188307,0,3
"17",17,"ALK",-8.64220868678146,0,1
"18",18,"ALB",5.57530217119366,0.147729819961668,1
"19",19,"ARE",-27.5953494748799,0.785828428720607,3
"20",20,"ALGN",-71.2305128523382,0,3
"21",21,"ALLE",-15.818911130208,0.368109185709531,1
"22",22,"LNT",-5.81013467715252,0.785753611423653,1
"23",23,"ALL",17.0189501272057,0.661787594802435,1
"24",24,"GOOGL",-31.7978076079674,0,3
"25",25,"GOOG",-31.7094895178381,0,3
"26",26,"MO",6.16561895062149,1.992369648156,1
"27",27,"AMZN",-48.1672411855473,0,3
"28",28,"AMCR",5.49828178694156,1.00162866449511,1
"29",29,"AEE",1.25307414513496,0.682396491815828,1
"30",30,"AAL",-22.8165938864629,0,3
"31",31,"AEP",13.4030457169601,0.8797965181173,1
"32",32,"AXP",-5.31914893617022,0.333868378812199,1
"33",33,"AIG",11.7135063748502,0.519396193484886,1
"34",34,"AMT",-20.2691229493088,0.679705910580184,3
"35",35,"AWK",-12.2001581602249,0.428104575163399,1
"36",36,"AMP",7.50267723407474,0.389456641030377,1
"37",37,"ABC",43.589749240481,0.283029876966446,2
"38",38,"AME",0.652480851063819,0.155016913120306,1
"39",39,"AMGN",36.6674655510628,0.678701380894226,2
"40",40,"APH",-5.24746703035104,0.251730657711667,1
"41",41,"ADI",-8.66771828461608,0.453055141579732,1
"42",42,"ANSS",-37.6062186958902,0,3
"43",43,"AON",2.94470241393594,0.181206311057285,1
"44",44,"APA",70.5526154428463,0.554815788841194,2
"45",45,"AAPL",-13.0175033946356,0.15638810705979,1
"46",46,"AMAT",-29.2582781456954,0.243400112338513,3
"47",47,"APTV",-38.6767529860321,0,3
"48",48,"ANET",8.00614241400988,0,1
"49",49,"AJG",16.7288865185185,0.258909539220419,1
"50",50,"AIZ",-16.2640901771336,0.538461538461538,1
"51",51,"T",7.34060317353165,1.47167821448799,1
"52",52,"ATO",22.949598938992,0.638591663063298,2
"53",53,"ADSK",-27.0741694382522,0,3
"54",54,"ADP",12.4835081398192,0.39352202358681,1
"55",55,"AZO",27.5093114902274,0,2
"56",56,"AVB",-29.0901525388601,0.929444049183911,3
"57",57,"AVY",-10.2908006721099,0.393391043065021,1
"58",58,"BKR",15.3098333207844,0.667369183960983,1
"59",59,"BAC",-22.419211794901,0.636389933468325,3
"60",60,"BBWI",-41.10487182705,0.454235758669901,3
"61",61,"BAX",-35.8651887273084,0.568627450980392,3
"62",62,"BDX",1.78269608808019,0.354407696829195,1
"63",63,"BBY",-21.0393028699062,1.04537894986933,3
"64",64,"BIO",-46.0690801092846,0,3
"65",65,"TECH",-30.515599442631,0.0243190667392769,3
"66",66,"BIIB",29.7775030401697,0,2
"67",67,"BLK",-22.4317217624431,0.690055004482374,3
"68",68,"BK",-22.8157937678079,0.856481461655522,3
"69",69,"BA",-11.1320405788857,0,1
"70",70,"BKNG",-10.0923529328856,0,1
"71",71,"BWA",-6.8776030269217,0.401132600256428,1
"72",72,"BXP",-40.5935400351867,1.44414969873048,3
"73",73,"BSX",9.86905626241241,0,1
"74",74,"BMY",41.4548613751948,0.669145006287919,2
"75",75,"AVGO",-7.22901678321678,0.772637296629991,1
"76",76,"BR",-16.569518864904,0.501521866374127,1
"77",77,"BRO",-11.1261656466777,0.194816198455297,1
"78",78,"CHRW",-3.02012723287075,0.639614114303845,1
"79",79,"CDNS",-8.12417193345004,0,1
"80",80,"CZR",-47.4357629247145,0,3
"81",81,"CPB",29.3032272227052,0.694705245764373,2
"82",82,"COF",-35.7302173702087,0.630914839766874,3
"83",83,"CAH",65.92050137909,0.625394039223151,2
"84",84,"KMX",-54.9330624471109,0,3
"85",85,"CCL",-48.8935721812434,0,3
"86",86,"CARR",-21.8917014943303,0.342075272158507,3
"87",87,"CTLT",-58.6074912392307,0,3
"88",88,"CAT",14.4129096408597,0.515929326556246,1
"89",89,"CBOE",-3.31817954545455,0,1
"90",90,"CBRE",-23.7387556094912,0,3
"91",91,"CDW",-4.64867122144617,0.315053125112338,1
"92",92,"CE",-32.2047645374138,0.646173716492685,3
"93",93,"CNC",19.2249121107267,0,2
"94",94,"CNP",9.8017981981982,0.590745014464884,1
"95",95,"CDAY",-38.9082986014572,0,3
"96",96,"CF",72.9291938388578,0.386286806771024,2
"97",97,"CRL",-40.5420516894863,0,3
"98",98,"SCHW",-0.39360392151524,0.271672007717757,1
"99",99,"CHTR",-43.09424117263,0,3
"100",100,"CVX",49.7014653650881,0.809070731270889,2
"101",101,"CMG",-5.21466018063633,0,1
"102",102,"CB",14.7661368773637,0.384829389344426,1
"103",103,"CHD",-13.8989565124707,0.325575641564442,1
